sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,0,0.12600000202655792,0.546999990940094,0.11500000208616257,0.3269999921321869,0.2930000126361847,0.3409999907016754,0.3779999911785126,0.3140000104904175,0.13600000739097595,0.019999999552965164,0.2597,0.320333331823349,0.2959999993443489,0.07800000347197056,0.2596999999135733,2.247724853712937,0.004248776173591613
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,1,0.3790000081062317,0.7799999713897705,0.19099999964237213,0.3630000054836273,0.46799999475479126,0.5009999871253967,0.628000020980835,0.4650000035762787,0.13199999928474426,0.024000000208616257,0.3931,0.44999999304612476,0.4850000023841858,0.07799999974668026,0.3930999990552664,1.7911266252912323,0.0036996879816055296
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,2,0.593999981880188,0.800000011920929,0.3149999976158142,0.47099998593330383,0.5189999938011169,0.49399998784065247,0.671999990940094,0.5770000219345093,0.15600000321865082,0.14800000190734863,0.4746,0.5696666638056437,0.5465999960899353,0.15200000256299973,0.4745999976992607,1.246571499725868,0.0031380487322807313
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,3,0.6769999861717224,0.8029999732971191,0.4050000011920929,0.5080000162124634,0.5260000228881836,0.5180000066757202,0.718999981880188,0.6029999852180481,0.23899999260902405,0.2759999930858612,0.5274,0.6283333202203115,0.5748000025749207,0.2574999928474426,0.5273999959230423,0.8413686587892729,0.002831508779525757
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,4,0.6710000038146973,0.8029999732971191,0.44999998807907104,0.4869999885559082,0.5609999895095825,0.5410000085830688,0.7429999709129333,0.6499999761581421,0.335999995470047,0.36899998784065247,0.5611,0.6413333217302958,0.596399986743927,0.35249999165534973,0.5610999882221221,0.561485525862924,0.0026580579042434693
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,5,0.7110000252723694,0.8309999704360962,0.4830000102519989,0.4950000047683716,0.5899999737739563,0.5770000219345093,0.7409999966621399,0.6650000214576721,0.41499999165534973,0.40299999713897705,0.5911,0.6750000019868215,0.6136000037193299,0.4089999943971634,0.5911000013351441,0.37023166849695405,0.002579826855659485
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,6,0.7170000076293945,0.8240000009536743,0.5,0.5189999938011169,0.5789999961853027,0.5569999814033508,0.7599999904632568,0.6759999990463257,0.4659999907016754,0.43700000643730164,0.6035,0.6803333361943563,0.6181999921798706,0.4514999985694885,0.6034999966621399,0.24438517155318423,0.002581881022453308
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,7,0.7080000042915344,0.824999988079071,0.492000013589859,0.5360000133514404,0.5699999928474426,0.5799999833106995,0.7580000162124634,0.6710000038146973,0.4569999873638153,0.44600000977516174,0.6043,0.6750000019868215,0.6230000019073486,0.4514999985694885,0.6043000012636185,0.16518740099051904,0.002638614022731781
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,8,0.7200000286102295,0.8389999866485596,0.5059999823570251,0.5270000100135803,0.5950000286102295,0.5699999928474426,0.7540000081062317,0.6710000038146973,0.48500001430511475,0.49799999594688416,0.6165,0.6883333325386047,0.6234000086784363,0.49150000512599945,0.6165000051259995,0.1101084341262949,0.002651142764091492
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.7-0.7-0.7-0-0-0-0-0-0-0,9,0.7039999961853027,0.8460000157356262,0.49900001287460327,0.5070000290870667,0.5929999947547913,0.5870000123977661,0.7689999938011169,0.6880000233650208,0.5090000033378601,0.4729999899864197,0.6175,0.6830000082651774,0.6288000106811523,0.4909999966621399,0.6175000071525574,0.0753085636373224,0.002696333861351013
