sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.5920000076293945,0.7200000286102295,0.3449999988079071,0.37700000405311584,0.47099998593330383,0.5839999914169312,0.718999981880188,0.5630000233650208,0.7409999966621399,0.6539999842643738,0.5766,0.625000019868215,0.6337999880313874,0.3610000014305115,0.5766000002622604,1.8672456619414417,0.0025223685026168822
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.7599999904632568,0.847000002861023,0.578000009059906,0.5139999985694885,0.6209999918937683,0.652999997138977,0.8109999895095825,0.7170000076293945,0.8059999942779541,0.7549999952316284,0.7062,0.7283333341280619,0.6631999969482422,0.7804999947547913,0.706199997663498,0.9062281027436256,0.0017289786219596864
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7730000019073486,0.8299999833106995,0.652999997138977,0.6039999723434448,0.6809999942779541,0.6489999890327454,0.8069999814033508,0.746999979019165,0.8259999752044678,0.7960000038146973,0.7366,0.7519999941190084,0.697599983215332,0.8109999895095825,0.736599987745285,0.4929613640362566,0.0016048455834388733
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.8040000200271606,0.8370000123977661,0.6710000038146973,0.5920000076293945,0.7009999752044678,0.6790000200271606,0.8270000219345093,0.7559999823570251,0.8389999866485596,0.7960000038146973,0.7502,0.7706666787465414,0.7110000014305115,0.8174999952316284,0.7502000033855438,0.26037446375597606,0.0016368796229362487
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.8130000233650208,0.8489999771118164,0.6660000085830688,0.5879999995231628,0.6940000057220459,0.6840000152587891,0.8330000042915344,0.7630000114440918,0.8600000143051147,0.8209999799728394,0.7571,0.7760000030199686,0.7124000072479248,0.840499997138977,0.7571000039577485,0.13548847931352528,0.0017619484066963196
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.8090000152587891,0.8349999785423279,0.6740000247955322,0.6000000238418579,0.7179999947547913,0.6639999747276306,0.8339999914169312,0.7649999856948853,0.8610000014305115,0.828000009059906,0.7588,0.7726666728655497,0.7161999940872192,0.8445000052452087,0.7587999999523163,0.07515669254247438,0.0018684960722923278
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.8209999799728394,0.8569999933242798,0.6909999847412109,0.5899999737739563,0.699999988079071,0.6880000233650208,0.8259999752044678,0.7760000228881836,0.8560000061988831,0.8429999947547913,0.7648,0.7896666526794434,0.7159999966621399,0.8495000004768372,0.7647999942302703,0.046605077043006364,0.0019638439118862152
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.8180000185966492,0.8709999918937683,0.6779999732971191,0.6039999723434448,0.6940000057220459,0.6629999876022339,0.8450000286102295,0.7799999713897705,0.8610000014305115,0.8289999961853027,0.7643,0.7889999945958456,0.7171999931335449,0.8449999988079071,0.7642999947071075,0.03395477108742026,0.002037416464090347
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.800000011920929,0.8669999837875366,0.6880000233650208,0.609000027179718,0.6980000138282776,0.6919999718666077,0.8320000171661377,0.7870000004768372,0.8539999723434448,0.8339999914169312,0.7661,0.7850000063578287,0.7236000061035156,0.843999981880188,0.766100001335144,0.02630545318507674,0.0021073644697666167
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7990000247955322,0.847000002861023,0.7020000219345093,0.6019999980926514,0.7260000109672546,0.6690000295639038,0.847000002861023,0.7850000262260437,0.8759999871253967,0.8330000042915344,0.7686,0.7826666831970215,0.7258000135421753,0.8544999957084656,0.7686000108718872,0.020969696586358954,0.002158518660068512
