sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.5529999732971191,0.6309999823570251,0.18400000035762787,0.25099998712539673,0.2879999876022339,0.48500001430511475,0.5289999842643738,0.5649999976158142,0.4009999930858612,0.550000011920929,0.4437,0.5603333314259847,0.45679998993873594,0.23599999397993088,0.44369999319314957,2.0675588421902416,0.0033103474974632264
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.703000009059906,0.7519999742507935,0.4169999957084656,0.44999998807907104,0.4880000054836273,0.5770000219345093,0.7099999785423279,0.6610000133514404,0.6990000009536743,0.6729999780654907,0.613,0.6239999930063883,0.5772000014781952,0.6859999895095825,0.6129999965429306,1.240007860175634,0.00230981924533844
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7039999961853027,0.7910000085830688,0.5070000290870667,0.49000000953674316,0.5580000281333923,0.593999981880188,0.777999997138977,0.6840000152587891,0.7739999890327454,0.7369999885559082,0.6617,0.6673333446184794,0.620800006389618,0.7554999887943268,0.6617000043392182,0.7467669066736253,0.0020291548669338225
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.753000020980835,0.8159999847412109,0.5400000214576721,0.5230000019073486,0.5720000267028809,0.6029999852180481,0.7699999809265137,0.722000002861023,0.7630000114440918,0.7310000061988831,0.6793,0.703000009059906,0.6379999995231629,0.7470000088214874,0.6793000042438507,0.44817177521980417,0.0019644240975379944
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.746999979019165,0.824999988079071,0.5509999990463257,0.5410000085830688,0.5960000157356262,0.5950000286102295,0.7960000038146973,0.7300000190734863,0.7960000038146973,0.7519999742507935,0.6929,0.7076666553815206,0.6516000151634216,0.7739999890327454,0.6929000020027161,0.2618685240967799,0.0020211713552474976
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.7450000047683716,0.8040000200271606,0.5759999752044678,0.5400000214576721,0.5979999899864197,0.6159999966621399,0.7950000166893005,0.7400000095367432,0.7860000133514404,0.7509999871253967,0.6951,0.7083333333333334,0.6578000068664551,0.7685000002384186,0.6951000034809113,0.15124305047221104,0.002101284182071686
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.7559999823570251,0.8370000123977661,0.5889999866485596,0.546999990940094,0.6019999980926514,0.6079999804496765,0.8019999861717224,0.7350000143051147,0.7940000295639038,0.7509999871253967,0.7021,0.7273333271344503,0.6587999939918519,0.7725000083446503,0.7020999968051911,0.09115554834321393,0.0021810040712356565
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.7480000257492065,0.8450000286102295,0.5989999771118164,0.5600000023841858,0.6050000190734863,0.6050000190734863,0.8050000071525574,0.7490000128746033,0.800000011920929,0.7490000128746033,0.7065,0.7306666771570841,0.6648000121116638,0.7745000123977661,0.7065000116825104,0.05686940315921428,0.002278154796361923
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.7490000128746033,0.8330000042915344,0.5669999718666077,0.5389999747276306,0.6079999804496765,0.6190000176429749,0.8100000023841858,0.7580000162124634,0.8059999942779541,0.7689999938011169,0.7058,0.7163333296775818,0.6667999982833862,0.7874999940395355,0.7057999968528748,0.03739162275599221,0.0023375280380249024
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7609999775886536,0.8349999785423279,0.6029999852180481,0.550000011920929,0.6150000095367432,0.6119999885559082,0.8119999766349792,0.7680000066757202,0.781000018119812,0.7649999856948853,0.7102,0.7329999804496765,0.671399998664856,0.7730000019073486,0.7101999938488006,0.029508273385591425,0.002425217568874359
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,10,0.7480000257492065,0.8569999933242798,0.5950000286102295,0.5580000281333923,0.6079999804496765,0.6200000047683716,0.8069999814033508,0.7519999742507935,0.8080000281333923,0.7620000243186951,0.7115,0.7333333492279053,0.668999993801117,0.7850000262260437,0.7115000069141388,0.022647565262297453,0.0024712589144706724
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,11,0.7609999775886536,0.8320000171661377,0.5820000171661377,0.5540000200271606,0.6200000047683716,0.6240000128746033,0.8169999718666077,0.7559999823570251,0.8040000200271606,0.7609999775886536,0.7111,0.725000003973643,0.6741999983787537,0.7824999988079071,0.7111000001430512,0.018446685714741885,0.002553641641139984
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,12,0.7379999756813049,0.8610000014305115,0.6079999804496765,0.5400000214576721,0.6299999952316284,0.6389999985694885,0.8169999718666077,0.7509999871253967,0.7770000100135803,0.7480000257492065,0.7109,0.7356666525204977,0.6753999948501587,0.7625000178813934,0.7108999967575074,0.015675259501499644,0.002614370322227478
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,13,0.7570000290870667,0.8610000014305115,0.597000002861023,0.5699999928474426,0.628000020980835,0.625,0.8169999718666077,0.75,0.8220000267028809,0.7559999823570251,0.7183,0.7383333444595337,0.6779999971389771,0.789000004529953,0.7183000028133393,0.01679984166807795,0.002640886104106903
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,14,0.7599999904632568,0.8529999852180481,0.5929999947547913,0.5529999732971191,0.6200000047683716,0.6029999852180481,0.824999988079071,0.7549999952316284,0.800000011920929,0.7680000066757202,0.713,0.7353333234786987,0.6711999893188476,0.7840000092983246,0.7129999935626984,0.013273980815784407,0.002709705650806427
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,15,0.7739999890327454,0.8399999737739563,0.593999981880188,0.574999988079071,0.6140000224113464,0.6010000109672546,0.8069999814033508,0.7680000066757202,0.800000011920929,0.7519999742507935,0.7125,0.7359999815622965,0.6730000019073487,0.7759999930858612,0.7124999940395356,0.011292032960612895,0.0027371445536613463
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,16,0.7649999856948853,0.847000002861023,0.5910000205039978,0.5389999747276306,0.6399999856948853,0.6200000047683716,0.8069999814033508,0.7599999904632568,0.7870000004768372,0.7699999809265137,0.7126,0.734333336353302,0.673199987411499,0.7784999907016754,0.7125999927520752,0.011754658601988675,0.002752036190032959
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,17,0.765999972820282,0.8349999785423279,0.6060000061988831,0.5720000267028809,0.6499999761581421,0.609000027179718,0.7900000214576721,0.7570000290870667,0.8040000200271606,0.7739999890327454,0.7163,0.7356666525204977,0.675600016117096,0.789000004529953,0.7163000047206879,0.010798683903037997,0.0027974419593811035
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,18,0.7799999713897705,0.8410000205039978,0.5910000205039978,0.5320000052452087,0.6370000243186951,0.6209999918937683,0.8040000200271606,0.746999979019165,0.8100000023841858,0.7680000066757202,0.7131,0.737333337465922,0.6682000041007996,0.789000004529953,0.713100004196167,0.015535616521107949,0.0027669498324394224
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,19,0.7900000214576721,0.8320000171661377,0.5839999914169312,0.527999997138977,0.6309999823570251,0.6299999952316284,0.8019999861717224,0.7609999775886536,0.8109999895095825,0.7639999985694885,0.7133,0.7353333433469137,0.6703999876976013,0.7874999940395355,0.7132999956607818,0.014146506723205922,0.002865609657764435
