sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.6179999709129333,0.7379999756813049,0.4480000138282776,0.4309999942779541,0.36800000071525574,0.5509999990463257,0.734000027179718,0.5989999771118164,0.6790000200271606,0.6779999732971191,0.5844,0.6013333201408386,0.536599999666214,0.6784999966621399,0.5843999952077865,1.8552479683136454,0.002410906732082367
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.7540000081062317,0.8100000023841858,0.6129999756813049,0.5659999847412109,0.6389999985694885,0.6570000052452087,0.8100000023841858,0.7680000066757202,0.8240000009536743,0.8270000219345093,0.7268,0.7256666620572408,0.6879999995231628,0.8255000114440918,0.726800000667572,0.8807712106072173,0.001637514555454254
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7990000247955322,0.8629999756813049,0.6460000276565552,0.6010000109672546,0.6859999895095825,0.6460000276565552,0.824999988079071,0.777999997138977,0.8450000286102295,0.8040000200271606,0.7493,0.7693333427111307,0.707200002670288,0.8245000243186951,0.7493000090122223,0.4803196921640513,0.0015093905806541443
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.8019999861717224,0.8579999804496765,0.6850000023841858,0.6209999918937683,0.7149999737739563,0.6729999780654907,0.8169999718666077,0.7670000195503235,0.8709999918937683,0.8399999737739563,0.7649,0.7816666563351949,0.7185999870300293,0.8554999828338623,0.7648999869823456,0.2575250163066144,0.001551121598482132
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.7990000247955322,0.871999979019165,0.7020000219345093,0.6050000190734863,0.6890000104904175,0.6850000023841858,0.8320000171661377,0.7979999780654907,0.859000027179718,0.8410000205039978,0.7682,0.7910000085830688,0.7218000054359436,0.8500000238418579,0.768200010061264,0.13546251391573827,0.0016587766587734221
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.796999990940094,0.8690000176429749,0.6859999895095825,0.6190000176429749,0.7160000205039978,0.6940000057220459,0.8220000267028809,0.8080000281333923,0.8579999804496765,0.8370000123977661,0.7706,0.7839999993642172,0.7318000197410583,0.8474999964237213,0.7706000089645386,0.07375393359332669,0.0017905081629753113
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.8050000071525574,0.8679999709129333,0.703000009059906,0.6449999809265137,0.7049999833106995,0.6779999732971191,0.8259999752044678,0.7950000166893005,0.8569999933242798,0.8610000014305115,0.7743,0.7919999957084656,0.7297999858856201,0.8589999973773956,0.7742999911308288,0.04475357161112586,0.0019126584589481354
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.8080000281333923,0.8799999952316284,0.699999988079071,0.6349999904632568,0.703000009059906,0.6830000281333923,0.8429999947547913,0.8069999814033508,0.8840000033378601,0.8420000076293945,0.7785,0.7960000038146973,0.7342000007629395,0.8630000054836273,0.7785000026226043,0.028564498275138284,0.001986518210172653
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.8119999766349792,0.8650000095367432,0.6930000185966492,0.6269999742507935,0.718999981880188,0.6869999766349792,0.8410000205039978,0.8159999847412109,0.8700000047683716,0.8479999899864197,0.7778,0.7900000015894572,0.7379999876022338,0.8589999973773956,0.7777999937534332,0.02177457581749376,0.002020792293548584
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.8209999799728394,0.878000020980835,0.6940000057220459,0.6489999890327454,0.7089999914169312,0.671999990940094,0.843999981880188,0.7979999780654907,0.875,0.8450000286102295,0.7785,0.7976666688919067,0.7343999862670898,0.8600000143051147,0.7784999966621399,0.018012740701551035,0.002118398970365524
