,exp_name,prune_ratio,head_acc,med_acc,tail_acc,total_acc
0,cifar_EL2N_score_30.csv,0-0-0-0-0-0-0-0-0-0,0.8653333187103271,0.6288000047206879,0.4050000011920929,0.6549999982118606
1,cifar_EL2N_score_30.csv,0.1-0.1-0.1-0-0-0-0-0-0-0,0.8413333296775818,0.628000009059906,0.4434999972581863,0.6551000028848648
2,cifar_EL2N_score_30.csv,0.2-0.2-0.2-0-0-0-0-0-0-0,0.8363333344459534,0.6249999880790711,0.4520000070333481,0.6537999957799911
3,cifar_EL2N_score_30.csv,0.3-0.3-0.3-0-0-0-0-0-0-0,0.8089999953905741,0.6025999963283539,0.4450000077486038,0.6329999983310699
4,cifar_EL2N_score_30.csv,0.4-0.4-0.4-0-0-0-0-0-0-0,0.8119999965031942,0.6424000024795532,0.5055000185966492,0.6659000039100647
5,cifar_EL2N_score_30.csv,0.5-0.5-0.5-0-0-0-0-0-0-0,0.7883333166440328,0.6429999947547913,0.5294999927282333,0.6638999909162522
6,cifar_EL2N_score_30.csv,0.6-0.6-0.6-0-0-0-0-0-0-0,0.7589999834696451,0.6535999774932861,0.5595000088214874,0.6663999855518341
7,cifar_EL2N_score_30.csv,0.7-0.7-0.7-0-0-0-0-0-0-0,0.7103333274523417,0.6595999956130981,0.554500013589859,0.6537999987602234
8,cifar_EL2N_score_30.csv,0.8-0.8-0.8-0-0-0-0-0-0-0,0.6356666684150696,0.6461999893188477,0.5805000066757202,0.6298999965190888
9,cifar_EL2N_score_30.csv,0.9-0.9-0.9-0-0-0-0-0-0-0,0.478000005086263,0.6578000068664551,0.6605000197887421,0.6044000089168549
