,exp_name,head_acc,med_acc,tail_acc,total_acc
0,full dataset random pruning,0.8179999987284342,0.7579999923706054,0.8694999814033508,0.7982999920845032
1,full dataset random pruning,0.8083333373069763,0.7412000060081482,0.859499990940094,0.7850000023841858
2,full dataset random pruning,0.8046666582425436,0.7141999959945678,0.8429999947547913,0.7670999944210053
3,full dataset random pruning,0.7863333423932394,0.7207999944686889,0.8599999845027924,0.7682999968528748
4,full dataset random pruning,0.7876666585604349,0.7116000056266785,0.8369999825954437,0.7594999969005585
5,full dataset random pruning,0.7603333393732706,0.6913999915122986,0.8139999806880951,0.7365999937057495
