sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,0,0.17499999701976776,0.2290000021457672,0.0729999989271164,0.2980000078678131,0.36000001430511475,0.503000020980835,0.35199999809265137,0.30300000309944153,0.06599999964237213,0.03700000047683716,0.2396,0.3870000143845876,0.22639999985694886,0.051500000059604645,0.23960000425577163,2.224195040189303,0.004253181457519531
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,1,0.29100000858306885,0.460999995470047,0.0949999988079071,0.36000001430511475,0.46000000834465027,0.5239999890327454,0.5690000057220459,0.546999990940094,0.08500000089406967,0.05000000074505806,0.3442,0.28233333428700763,0.49200000166893004,0.06750000081956387,0.3442000012844801,1.7932322116998525,0.0038664648413658143
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,2,0.5289999842643738,0.6690000295639038,0.19099999964237213,0.4350000023841858,0.5220000147819519,0.5130000114440918,0.6650000214576721,0.5870000123977661,0.1289999932050705,0.14800000190734863,0.4388,0.46300000449021655,0.5444000124931335,0.13849999755620956,0.43880000710487366,1.312865110544058,0.003320500457286835
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,3,0.6019999980926514,0.703000009059906,0.24300000071525574,0.460999995470047,0.5360000133514404,0.546999990940094,0.7300000190734863,0.6430000066757202,0.2939999997615814,0.3269999921321869,0.5086,0.5160000026226044,0.5834000051021576,0.31049999594688416,0.5086000025272369,0.9121305002616003,0.0029595358371734617
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,4,0.6480000019073486,0.722000002861023,0.3160000145435333,0.4690000116825104,0.5550000071525574,0.5580000281333923,0.75,0.6639999747276306,0.3720000088214874,0.3970000147819519,0.5451,0.5620000064373016,0.5992000043392182,0.38450001180171967,0.5451000064611435,0.6153627221400921,0.0027486780762672426
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,5,0.6539999842643738,0.7549999952316284,0.34599998593330383,0.4880000054836273,0.5839999914169312,0.5690000057220459,0.7559999823570251,0.6740000247955322,0.41999998688697815,0.41999998688697815,0.5666,0.5849999884764353,0.6142000019550323,0.41999998688697815,0.5665999948978424,0.41161517798900604,0.0026757097840309145
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,6,0.6660000085830688,0.7459999918937683,0.39399999380111694,0.49399998784065247,0.5770000219345093,0.5849999785423279,0.7599999904632568,0.6679999828338623,0.4659999907016754,0.4860000014305115,0.5842,0.6019999980926514,0.6167999923229217,0.47599999606609344,0.584199994802475,0.27723117344654524,0.0026110129952430726
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,7,0.6710000038146973,0.7540000081062317,0.4059999883174896,0.4830000102519989,0.5920000076293945,0.5870000123977661,0.7730000019073486,0.6819999814033508,0.5080000162124634,0.4869999885559082,0.5943,0.6103333334128062,0.6234000027179718,0.4975000023841858,0.5943000018596649,0.18370086126602614,0.002642795217037201
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,8,0.675000011920929,0.7699999809265137,0.4300000071525574,0.5070000290870667,0.5870000123977661,0.5889999866485596,0.7710000276565552,0.6949999928474426,0.5320000052452087,0.5,0.6056,0.625,0.6298000097274781,0.5160000026226044,0.6056000053882599,0.12638169011244407,0.00266032429933548
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.8-0.8-0.8-0-0-0-0-0-0-0,9,0.6700000166893005,0.75,0.4309999942779541,0.4950000047683716,0.5979999899864197,0.5709999799728394,0.7799999713897705,0.6830000281333923,0.5329999923706055,0.5389999747276306,0.605,0.6170000036557516,0.6253999948501587,0.535999983549118,0.6049999952316284,0.08737072749779774,0.0026905991196632386
