sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,0,0.4569999873638153,0.6179999709129333,0.20499999821186066,0.26899999380111694,0.17800000309944153,0.3709999918937683,0.41499999165534973,0.1809999942779541,0.007000000216066837,0.024000000208616257,0.2725,0.42666665216286975,0.2827999949455261,0.015500000212341547,0.2724999931640923,2.2296083346009254,0.004214049625396728
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,1,0.675000011920929,0.7590000033378601,0.3009999990463257,0.3319999873638153,0.3370000123977661,0.45899999141693115,0.5709999799728394,0.4050000011920929,0.00800000037997961,0.09200000017881393,0.3939,0.578333338101705,0.420799994468689,0.05000000027939677,0.39389999872073533,1.7480779439210892,0.0036559929728507998
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,2,0.75,0.7850000262260437,0.43799999356269836,0.39500001072883606,0.4490000009536743,0.49300000071525574,0.6610000133514404,0.5479999780654907,0.017000000923871994,0.23999999463558197,0.4776,0.6576666732629141,0.5092000007629395,0.12849999777972698,0.4776000019162893,1.2430384531617165,0.00312090425491333
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,3,0.7910000085830688,0.8100000023841858,0.5009999871253967,0.4090000092983246,0.5120000243186951,0.5339999794960022,0.6769999861717224,0.6019999980926514,0.06400000303983688,0.35899999737739563,0.5259,0.7006666660308838,0.5467999994754791,0.21150000020861626,0.5258999995887279,0.8463390748947859,0.0028310572624206543
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,4,0.7910000085830688,0.824999988079071,0.5329999923706055,0.4480000138282776,0.5350000262260437,0.5519999861717224,0.7239999771118164,0.6129999756813049,0.17900000512599945,0.36500000953674316,0.5565,0.7163333296775818,0.574399995803833,0.2720000073313713,0.5564999982714653,0.5702851479873061,0.0026927451372146605
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,5,0.7739999890327454,0.843999981880188,0.5400000214576721,0.460999995470047,0.546999990940094,0.5519999861717224,0.7229999899864197,0.6430000066757202,0.27799999713897705,0.41499999165534973,0.5777,0.7193333307902018,0.5851999938488006,0.3464999943971634,0.5776999950408935,0.37829668167978525,0.0026441923022270204
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,6,0.7549999952316284,0.8450000286102295,0.5529999732971191,0.4320000112056732,0.5759999752044678,0.5809999704360962,0.7300000190734863,0.6520000100135803,0.3720000088214874,0.4269999861717224,0.5923,0.7176666657129923,0.5941999971866607,0.3994999974966049,0.5922999978065491,0.25215503899380565,0.0026213563084602357
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,7,0.7630000114440918,0.847000002861023,0.5649999976158142,0.46700000762939453,0.5680000185966492,0.5830000042915344,0.7360000014305115,0.6449999809265137,0.40299999713897705,0.4569999873638153,0.6034,0.725000003973643,0.5998000025749206,0.4299999922513962,0.6034000009298325,0.1673727808520198,0.0026460270881652832
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,8,0.765999972820282,0.859000027179718,0.5659999847412109,0.46799999475479126,0.5699999928474426,0.5889999866485596,0.7419999837875366,0.6620000004768372,0.4169999957084656,0.44699999690055847,0.6086,0.7303333282470703,0.6061999917030334,0.431999996304512,0.6085999935865403,0.11900406400673091,0.002715552532672882
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,9,0.7400000095367432,0.8560000061988831,0.5559999942779541,0.4480000138282776,0.5809999704360962,0.5920000076293945,0.7670000195503235,0.6679999828338623,0.43700000643730164,0.4659999907016754,0.6111,0.7173333366711935,0.6111999988555908,0.4514999985694885,0.6111000001430511,0.0812657605856657,0.002774992263317108
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,10,0.7620000243186951,0.8569999933242798,0.5799999833106995,0.44600000977516174,0.5849999785423279,0.5879999995231628,0.7459999918937683,0.6620000004768372,0.4480000138282776,0.47699999809265137,0.6151,0.7330000003178915,0.6053999960422516,0.4625000059604645,0.6150999993085862,0.05851121048908681,0.002838417160511017
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,11,0.7720000147819519,0.8460000157356262,0.5830000042915344,0.4650000035762787,0.5860000252723694,0.5899999737739563,0.7519999742507935,0.6800000071525574,0.44600000977516174,0.4869999885559082,0.6207,0.7336666782697042,0.6145999968051911,0.466499999165535,0.6207000017166138,0.04427951714023948,0.002869930553436279
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,12,0.7789999842643738,0.8629999756813049,0.5830000042915344,0.4560000002384186,0.5849999785423279,0.5960000157356262,0.7630000114440918,0.6669999957084656,0.43299999833106995,0.4749999940395355,0.62,0.7416666547457377,0.613400000333786,0.45399999618530273,0.6199999958276748,0.036193837819155306,0.0029295671463012694
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,13,0.7580000162124634,0.8569999933242798,0.5960000157356262,0.45899999141693115,0.5830000042915344,0.5879999995231628,0.7710000276565552,0.656000018119812,0.46700000762939453,0.5040000081062317,0.6239,0.7370000084241232,0.6114000082015991,0.4855000078678131,0.6239000082015991,0.03022429082193412,0.0029502732396125796
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,14,0.7839999794960022,0.8569999933242798,0.6019999980926514,0.4650000035762787,0.578000009059906,0.5830000042915344,0.7639999985694885,0.6650000214576721,0.4560000002384186,0.48500001430511475,0.6239,0.7476666569709778,0.6110000073909759,0.47050000727176666,0.6239000022411346,0.029727676999755204,0.003014210093021393
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,15,0.7990000247955322,0.8709999918937683,0.593999981880188,0.4790000021457672,0.5740000009536743,0.5799999833106995,0.7680000066757202,0.6380000114440918,0.4359999895095825,0.47200000286102295,0.6211,0.7546666661898295,0.6078000009059906,0.45399999618530273,0.6210999995470047,0.025126589462161064,0.0030792539477348326
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,16,0.7760000228881836,0.8730000257492065,0.5929999947547913,0.4699999988079071,0.5569999814033508,0.6079999804496765,0.7670000195503235,0.6520000100135803,0.42899999022483826,0.4729999899864197,0.6198,0.7473333477973938,0.6107999980449677,0.45099999010562897,0.6198000013828278,0.02222438686294481,0.003127527105808258
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,17,0.7839999794960022,0.8560000061988831,0.6029999852180481,0.48100000619888306,0.578000009059906,0.6039999723434448,0.7599999904632568,0.6639999747276306,0.4440000057220459,0.4749999940395355,0.6249,0.7476666569709778,0.6173999905586243,0.4594999998807907,0.6248999923467636,0.019829599477816373,0.0031432486534118654
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,18,0.7950000166893005,0.859000027179718,0.6110000014305115,0.4690000116825104,0.5669999718666077,0.6060000061988831,0.7649999856948853,0.6629999876022339,0.4429999887943268,0.46399998664855957,0.6242,0.7550000150998434,0.613999992609024,0.4534999877214432,0.6241999983787536,0.018078899724059738,0.003186498701572418
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,19,0.796999990940094,0.8769999742507935,0.5830000042915344,0.4580000042915344,0.5720000267028809,0.6079999804496765,0.7590000033378601,0.6779999732971191,0.44600000977516174,0.4480000138282776,0.6226,0.7523333231608073,0.6149999976158143,0.44700001180171967,0.6225999981164932,0.015867519337916747,0.003246441388130188
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,20,0.7919999957084656,0.8629999756813049,0.5799999833106995,0.46299999952316284,0.578000009059906,0.5860000252723694,0.7599999904632568,0.6729999780654907,0.4650000035762787,0.46299999952316284,0.6223,0.7449999849001566,0.6120000004768371,0.46400000154972076,0.6222999960184097,0.01253960290341638,0.0032519559264183044
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,21,0.7850000262260437,0.8640000224113464,0.5920000076293945,0.44200000166893005,0.5759999752044678,0.6019999980926514,0.7730000019073486,0.6650000214576721,0.4659999907016754,0.5019999742507935,0.6267,0.7470000187555949,0.611599999666214,0.48399998247623444,0.6267000019550324,0.011795526501373388,0.0032714168548583986
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,22,0.7940000295639038,0.871999979019165,0.6000000238418579,0.4449999928474426,0.5899999737739563,0.5839999914169312,0.7620000243186951,0.6779999732971191,0.460999995470047,0.4580000042915344,0.6244,0.7553333441416422,0.6117999911308288,0.4594999998807907,0.6243999987840653,0.011025530868209898,0.0033384798645973205
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,23,0.7950000166893005,0.8619999885559082,0.5929999947547913,0.48100000619888306,0.5899999737739563,0.6019999980926514,0.7599999904632568,0.6589999794960022,0.45899999141693115,0.46799999475479126,0.6269,0.75,0.6183999896049499,0.4634999930858612,0.6268999934196472,0.01047319299686933,0.003366268873214722
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,24,0.7870000004768372,0.8500000238418579,0.5849999785423279,0.4749999940395355,0.5709999799728394,0.5979999899864197,0.7730000019073486,0.6819999814033508,0.48399999737739563,0.503000020980835,0.6308,0.740666667620341,0.6197999894618988,0.4935000091791153,0.6307999968528748,0.016750034803408198,0.0033641669511795045
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,25,0.7620000243186951,0.8619999885559082,0.5950000286102295,0.4729999899864197,0.5640000104904175,0.6029999852180481,0.7519999742507935,0.6660000085830688,0.4869999885559082,0.5149999856948853,0.6279,0.7396666804949442,0.6115999937057495,0.5009999871253967,0.6278999984264374,0.020349988859379664,0.0032867422223091126
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,26,0.8040000200271606,0.8700000047683716,0.5809999704360962,0.4740000069141388,0.5820000171661377,0.5820000171661377,0.777999997138977,0.6669999957084656,0.45500001311302185,0.48100000619888306,0.6274,0.7516666650772095,0.6166000068187714,0.46800000965595245,0.627400004863739,0.015992920045391656,0.003377840745449066
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,27,0.7960000038146973,0.8539999723434448,0.5870000123977661,0.4970000088214874,0.5699999928474426,0.5799999833106995,0.765999972820282,0.6769999861717224,0.4819999933242798,0.4869999885559082,0.6296,0.7456666628519694,0.6179999887943268,0.484499990940094,0.629599991440773,0.014971661221352406,0.0033734803080558776
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,28,0.7929999828338623,0.8679999709129333,0.5879999995231628,0.4690000116825104,0.5920000076293945,0.5870000123977661,0.7860000133514404,0.6629999876022339,0.4429999887943268,0.49399998784065247,0.6283,0.7496666510899862,0.619400006532669,0.4684999883174896,0.6282999962568283,0.017101304794778116,0.0034383176803588866
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,29,0.7940000295639038,0.8740000128746033,0.5849999785423279,0.453000009059906,0.5889999866485596,0.5870000123977661,0.7639999985694885,0.6980000138282776,0.49000000953674316,0.5149999856948853,0.6349,0.7510000069936117,0.6182000041007996,0.5024999976158142,0.6349000036716461,0.012684356406680308,0.0033340248942375183
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,30,0.7889999747276306,0.8790000081062317,0.5839999914169312,0.48399999737739563,0.5910000205039978,0.5889999866485596,0.781000018119812,0.6800000071525574,0.47200000286102295,0.5019999742507935,0.6351,0.7506666580835978,0.6250000059604645,0.4869999885559082,0.6350999981164932,0.010914540951489471,0.0034119663834571838
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,31,0.796999990940094,0.8650000095367432,0.5839999914169312,0.48399999737739563,0.5960000157356262,0.5870000123977661,0.7789999842643738,0.6840000152587891,0.4699999988079071,0.5099999904632568,0.6356,0.7486666639645895,0.6260000050067902,0.48999999463558197,0.6356000006198883,0.006395588927261997,0.003381230652332306
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,32,0.7929999828338623,0.8600000143051147,0.5740000009536743,0.4819999933242798,0.5929999947547913,0.5920000076293945,0.7929999828338623,0.6949999928474426,0.4819999933242798,0.5120000243186951,0.6376,0.7423333326975504,0.6309999942779541,0.4970000088214874,0.6375999987125397,0.008307210733619286,0.0034055299878120423
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,33,0.7940000295639038,0.8700000047683716,0.5910000205039978,0.48100000619888306,0.5899999737739563,0.5849999785423279,0.7699999809265137,0.6890000104904175,0.4790000021457672,0.4950000047683716,0.6344,0.7516666849454244,0.6229999899864197,0.4870000034570694,0.634400001168251,0.008619631284091156,0.0033947794914245604
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,34,0.7979999780654907,0.8679999709129333,0.5809999704360962,0.4909999966621399,0.5720000267028809,0.6000000238418579,0.7870000004768372,0.6729999780654907,0.47099998593330383,0.5120000243186951,0.6353,0.7489999731381735,0.6246000051498413,0.49150000512599945,0.6352999955415726,0.004607467861205805,0.0034397792220115663
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,35,0.8009999990463257,0.871999979019165,0.5820000171661377,0.5,0.5709999799728394,0.5899999737739563,0.7839999794960022,0.6809999942779541,0.48100000619888306,0.503000020980835,0.6365,0.7516666650772095,0.6251999855041503,0.492000013589859,0.6364999949932099,0.006400693189789308,0.003414017176628113
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,36,0.7990000247955322,0.8659999966621399,0.5830000042915344,0.4830000102519989,0.5759999752044678,0.5899999737739563,0.7749999761581421,0.6919999718666077,0.49000000953674316,0.5040000081062317,0.6358,0.7493333419164022,0.6231999814510345,0.4970000088214874,0.6357999950647354,0.005850455068866722,0.003367100739479065
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,37,0.7900000214576721,0.8610000014305115,0.6010000109672546,0.4790000021457672,0.5640000104904175,0.5870000123977661,0.7820000052452087,0.6890000104904175,0.47699999809265137,0.5189999938011169,0.6349,0.7506666779518127,0.6202000081539154,0.49799999594688416,0.6349000066518784,0.006888055697345408,0.003404549205303192
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,38,0.7990000247955322,0.8610000014305115,0.597000002861023,0.4950000047683716,0.5720000267028809,0.5730000138282776,0.7940000295639038,0.6759999990463257,0.48500001430511475,0.5170000195503235,0.6369,0.7523333430290222,0.6220000147819519,0.5010000169277191,0.6369000136852264,0.004331554333475651,0.003415635371208191
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,39,0.8029999732971191,0.8700000047683716,0.5899999737739563,0.4830000102519989,0.5630000233650208,0.5809999704360962,0.7919999957084656,0.6830000281333923,0.48500001430511475,0.5170000195503235,0.6367,0.7543333172798157,0.6204000055789948,0.5010000169277191,0.6367000013589859,0.004797596502612578,0.0033971123695373537
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,40,0.8050000071525574,0.8610000014305115,0.5849999785423279,0.49000000953674316,0.597000002861023,0.5960000157356262,0.7850000262260437,0.6589999794960022,0.4869999885559082,0.5109999775886536,0.6376,0.750333329041799,0.6254000067710876,0.4989999830722809,0.6375999987125397,0.005284358077915385,0.0034366761684417723
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,41,0.8130000233650208,0.8600000143051147,0.5979999899864197,0.4819999933242798,0.5799999833106995,0.5820000171661377,0.7860000133514404,0.6710000038146973,0.4740000069141388,0.5059999823570251,0.6352,0.7570000092188517,0.620200002193451,0.48999999463558197,0.6352000027894974,0.004745673806610284,0.003428509521484375
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,42,0.7950000166893005,0.8640000224113464,0.6079999804496765,0.48899999260902405,0.5640000104904175,0.5879999995231628,0.7879999876022339,0.6740000247955322,0.4749999940395355,0.5180000066757202,0.6363,0.7556666731834412,0.6206000030040741,0.49650000035762787,0.636300003528595,0.005500555569597054,0.003469081139564514
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,43,0.7919999957084656,0.8759999871253967,0.5889999866485596,0.49799999594688416,0.5870000123977661,0.5789999961853027,0.781000018119812,0.6909999847412109,0.46399998664855957,0.5059999823570251,0.6363,0.7523333231608073,0.6272000014781952,0.48499998450279236,0.6362999945878982,0.004951586357492488,0.00346131249666214
