sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,0,0.5580000281333923,0.8740000128746033,0.3919999897480011,0.17599999904632568,0.125,0.3449999988079071,0.23499999940395355,0.1420000046491623,0.004999999888241291,0.003000000026077032,0.2855,0.6080000102519989,0.20460000038146972,0.003999999957159162,0.28550000325776637,2.1643034533450476,0.004382721185684204
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,1,0.8240000009536743,0.8309999704360962,0.5609999895095825,0.33899998664855957,0.20200000703334808,0.40299999713897705,0.47099998593330383,0.37299999594688416,0.008999999612569809,0.023000000044703484,0.4036,0.7386666536331177,0.3575999945402145,0.015999999828636646,0.4035999933257699,1.5922129122834456,0.0035468225717544557
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,2,0.8199999928474426,0.8569999933242798,0.6209999918937683,0.38499999046325684,0.3919999897480011,0.49300000071525574,0.6079999804496765,0.5249999761581421,0.05900000035762787,0.09399999678134918,0.4854,0.765999992688497,0.48059998750686644,0.07649999856948853,0.48539999127388,1.09077030734012,0.003056850481033325
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,3,0.8240000009536743,0.871999979019165,0.6460000276565552,0.4429999887943268,0.4740000069141388,0.5049999952316284,0.6320000290870667,0.5910000205039978,0.14800000190734863,0.24899999797344208,0.5384,0.7806666692097982,0.5290000081062317,0.19849999994039536,0.5384000048041344,0.7298748116744193,0.0027869619607925416
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,4,0.828000009059906,0.8790000081062317,0.6480000019073486,0.4519999921321869,0.5320000052452087,0.5239999890327454,0.6840000152587891,0.6029999852180481,0.25,0.2879999876022339,0.5688,0.7850000063578287,0.5589999973773956,0.26899999380111694,0.5687999993562698,0.4913704842329025,0.002692472791671753
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,5,0.8240000009536743,0.878000020980835,0.6669999957084656,0.453000009059906,0.5429999828338623,0.5529999732971191,0.6890000104904175,0.6240000128746033,0.3310000002384186,0.3479999899864197,0.591,0.7896666725476583,0.5723999977111817,0.33949999511241913,0.5909999996423722,0.3331637264866578,0.0026723177075386045
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,6,0.8220000267028809,0.8700000047683716,0.6629999876022339,0.47200000286102295,0.5580000281333923,0.5299999713897705,0.7250000238418579,0.6320000290870667,0.3449999988079071,0.3610000014305115,0.5978,0.7850000063578287,0.5834000110626221,0.3530000001192093,0.5978000074625015,0.22941955492684715,0.0027229577898979186
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,7,0.8180000185966492,0.8980000019073486,0.6539999842643738,0.4790000021457672,0.546999990940094,0.5680000185966492,0.7210000157356262,0.6169999837875366,0.35899999737739563,0.3799999952316284,0.6041,0.7900000015894572,0.5864000022411346,0.369499996304512,0.6041000008583068,0.16969310511883937,0.0028155813217163087
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,8,0.8270000219345093,0.8700000047683716,0.675000011920929,0.4560000002384186,0.5509999990463257,0.5609999895095825,0.7250000238418579,0.6610000133514404,0.39500001072883606,0.41100001335144043,0.6132,0.7906666795412699,0.5908000051975251,0.40300001204013824,0.6132000088691711,0.12204065958136007,0.0027942458629608155
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,9,0.8349999785423279,0.8859999775886536,0.6759999990463257,0.4490000009536743,0.550000011920929,0.5659999847412109,0.7409999966621399,0.6370000243186951,0.40700000524520874,0.38600000739097595,0.6133,0.7989999850591024,0.5886000037193299,0.39650000631809235,0.6132999986410141,0.09691131605129492,0.00291884925365448
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,10,0.8230000138282776,0.8799999952316284,0.6880000233650208,0.42899999022483826,0.5649999976158142,0.5550000071525574,0.7429999709129333,0.6470000147819519,0.4180000126361847,0.3880000114440918,0.6136,0.797000010808309,0.587799996137619,0.40300001204013824,0.6136000037193299,0.08574465495583258,0.0029527525901794434
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,11,0.8259999752044678,0.8849999904632568,0.6800000071525574,0.4650000035762787,0.550000011920929,0.5440000295639038,0.718999981880188,0.6340000033378601,0.41999998688697815,0.4350000023841858,0.6158,0.796999990940094,0.5824000060558319,0.42749999463558197,0.6157999992370605,0.06498090805191743,0.002993874669075012
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.4-0.4-0.4-0-0-0-0-0-0-0,12,0.8399999737739563,0.8730000257492065,0.6919999718666077,0.4359999895095825,0.5680000185966492,0.5600000023841858,0.7310000061988831,0.6460000276565552,0.46299999952316284,0.4339999854564667,0.6243,0.8016666571299235,0.5882000088691711,0.44849999248981476,0.6243000000715255,0.06026704329997301,0.0030044967770576476
