sample,prune_ratio,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,0,0.49000000953674316,0.6790000200271606,0.2590000033378601,0.26499998569488525,0.17599999904632568,0.42800000309944153,0.2709999978542328,0.16699999570846558,0.003000000026077032,0.004999999888241291,0.2743,0.47600001096725464,0.2613999962806702,0.003999999957159162,0.27430000142194333,2.210460528731346,0.004219049167633057
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,1,0.7369999885559082,0.7960000038146973,0.41499999165534973,0.33899998664855957,0.29499998688697815,0.45399999618530273,0.546999990940094,0.39100000262260437,0.0020000000949949026,0.039000000804662704,0.4015,0.6493333280086517,0.40519999265670775,0.020500000449828804,0.40149999482091514,1.6902527771890163,0.0036411086082458496
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,2,0.7649999856948853,0.8259999752044678,0.4830000102519989,0.41999998688697815,0.42800000309944153,0.5070000290870667,0.6620000004768372,0.5429999828338623,0.017999999225139618,0.15199999511241913,0.4804,0.6913333237171173,0.5120000004768371,0.08499999716877937,0.48039999678730966,1.14804382994771,0.0030881690621376036
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,3,0.7870000004768372,0.8339999914169312,0.5360000133514404,0.4359999895095825,0.5059999823570251,0.5440000295639038,0.7059999704360962,0.6200000047683716,0.11599999666213989,0.2919999957084656,0.5377,0.719000001748403,0.5623999953269958,0.20399999618530273,0.5376999974250793,0.7677632831037045,0.0027423096895217896
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,4,0.781000018119812,0.8429999947547913,0.5490000247955322,0.4880000054836273,0.5429999828338623,0.5479999780654907,0.7310000061988831,0.621999979019165,0.24799999594688416,0.367000013589859,0.572,0.7243333458900452,0.5863999903202057,0.3075000047683716,0.5719999998807908,0.5006498834118247,0.0026002687573432924
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,5,0.7770000100135803,0.8539999723434448,0.5630000233650208,0.5070000290870667,0.5590000152587891,0.5649999976158142,0.7170000076293945,0.6320000290870667,0.335999995470047,0.41999998688697815,0.593,0.731333335240682,0.5960000157356262,0.3779999911785126,0.5930000066757202,0.31543961074203253,0.0025414978861808776
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,6,0.7730000019073486,0.859000027179718,0.574999988079071,0.5139999985694885,0.5569999814033508,0.5740000009536743,0.7319999933242798,0.640999972820282,0.4169999957084656,0.42899999022483826,0.6071,0.7356666723887125,0.6035999894142151,0.4229999929666519,0.6070999950170517,0.2002747729420662,0.0025611451387405394
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,7,0.7710000276565552,0.8460000157356262,0.5609999895095825,0.48500001430511475,0.5910000205039978,0.5799999833106995,0.7459999918937683,0.6579999923706055,0.44600000977516174,0.46299999952316284,0.6147,0.7260000109672546,0.6120000004768371,0.4545000046491623,0.6147000044584274,0.12982210190966725,0.0026122138142585754
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,8,0.7820000052452087,0.8450000286102295,0.5820000171661377,0.5009999871253967,0.5830000042915344,0.5809999704360962,0.7480000257492065,0.6890000104904175,0.4490000009536743,0.47200000286102295,0.6232,0.7363333503405253,0.6203999996185303,0.46050000190734863,0.6232000052928924,0.09087624959647655,0.0026395665764808655
5000-5000-5000-1825-1812-1803-1787-1773-501-499,0.6-0.6-0.6-0-0-0-0-0-0-0,9,0.7789999842643738,0.8610000014305115,0.5640000104904175,0.5080000162124634,0.5720000267028809,0.5920000076293945,0.7710000276565552,0.6859999895095825,0.49799999594688416,0.47099998593330383,0.6302,0.734666665395101,0.6258000135421753,0.484499990940094,0.6302000045776367,0.06663085520267487,0.002673359704017639
