sample,epoch_num,test_class_acc_0,test_class_acc_1,test_class_acc_2,test_class_acc_3,test_class_acc_4,test_class_acc_5,test_class_acc_6,test_class_acc_7,test_class_acc_8,test_class_acc_9,test_acc,test_head_acc,test_medium_acc,test_tail_acc,test_total_acc,train_loss,test_loss
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,0,0.5699999928474426,0.671999990940094,0.3370000123977661,0.4519999921321869,0.48100000619888306,0.5740000009536743,0.4440000057220459,0.49799999594688416,0.43799999356269836,0.6240000128746033,0.509,0.5023333330949148,0.540200001001358,0.44099999964237213,0.5090000003576278,1.9971324869349032,0.002925079321861267
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,1,0.6819999814033508,0.7630000114440918,0.6019999980926514,0.5099999904632568,0.5849999785423279,0.6489999890327454,0.7200000286102295,0.6859999895095825,0.6570000052452087,0.7860000133514404,0.664,0.6823333303133646,0.6299999952316284,0.7215000092983246,0.6639999985694885,1.1810501361195045,0.0019733555376529694
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,2,0.7070000171661377,0.824999988079071,0.6240000128746033,0.5860000252723694,0.6269999742507935,0.6269999742507935,0.7649999856948853,0.7250000238418579,0.7200000286102295,0.7979999780654907,0.7004,0.718666672706604,0.6659999966621399,0.7590000033378601,0.7004000008106231,0.7150799979137469,0.0017501992046833038
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,3,0.7620000243186951,0.8339999914169312,0.6610000133514404,0.5879999995231628,0.6710000038146973,0.6230000257492065,0.800000011920929,0.765999972820282,0.7839999794960022,0.8190000057220459,0.7308,0.7523333430290222,0.6896000027656555,0.801499992609024,0.7308000028133392,0.41993443724475327,0.0016819124639034272
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,4,0.7889999747276306,0.8349999785423279,0.6830000281333923,0.5839999914169312,0.6629999876022339,0.6570000052452087,0.8080000281333923,0.7400000095367432,0.7570000290870667,0.7990000247955322,0.7315,0.7689999938011169,0.6904000043869019,0.7780000269412994,0.7315000057220459,0.24287575200388703,0.0017886590838432311
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,5,0.7739999890327454,0.8429999947547913,0.6800000071525574,0.5879999995231628,0.6800000071525574,0.6740000247955322,0.8190000057220459,0.75,0.7979999780654907,0.8159999847412109,0.7422,0.765666663646698,0.7022000074386596,0.8069999814033508,0.7421999990940094,0.14645878244427185,0.0018432383596897126
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,6,0.7639999985694885,0.8550000190734863,0.6669999957084656,0.5920000076293945,0.6859999895095825,0.6899999976158142,0.8069999814033508,0.7860000133514404,0.8029999732971191,0.7950000166893005,0.7445,0.7620000044504801,0.7121999979019165,0.7989999949932098,0.7444999992847443,0.10078306288658818,0.0019445085167884826
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,7,0.7960000038146973,0.843999981880188,0.6890000104904175,0.5989999771118164,0.6819999814033508,0.6779999732971191,0.8140000104904175,0.7549999952316284,0.8169999718666077,0.8230000138282776,0.7497,0.7763333320617676,0.7055999875068665,0.8199999928474426,0.749699991941452,0.0690160967598233,0.0020041482150554655
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,8,0.8119999766349792,0.8379999995231628,0.6890000104904175,0.5830000042915344,0.6919999718666077,0.6570000052452087,0.8299999833106995,0.7509999871253967,0.7900000214576721,0.8259999752044678,0.7468,0.7796666622161865,0.7025999903678894,0.80799999833107,0.7467999935150147,0.05974267798039732,0.0021084223508834837
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,9,0.7990000247955322,0.8320000171661377,0.6800000071525574,0.5830000042915344,0.6980000138282776,0.6579999923706055,0.8149999976158142,0.7549999952316284,0.7919999957084656,0.8349999785423279,0.7447,0.7703333497047424,0.701800000667572,0.8134999871253967,0.7447000026702881,0.04391642391115804,0.002150761193037033
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,10,0.7919999957084656,0.8330000042915344,0.6949999928474426,0.6029999852180481,0.7089999914169312,0.6740000247955322,0.8169999718666077,0.7699999809265137,0.8059999942779541,0.8140000104904175,0.7513,0.7733333309491476,0.7145999908447266,0.8100000023841858,0.7512999951839447,0.038393697335938864,0.002235234421491623
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,11,0.8009999990463257,0.8539999723434448,0.7049999833106995,0.6190000176429749,0.7089999914169312,0.6669999957084656,0.8069999814033508,0.7789999842643738,0.8119999766349792,0.824999988079071,0.7578,0.7866666515668234,0.7161999940872192,0.8184999823570251,0.7577999889850616,0.04505546420482518,0.002216881901025772
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,12,0.8059999942779541,0.8569999933242798,0.699999988079071,0.6029999852180481,0.7089999914169312,0.6610000133514404,0.8220000267028809,0.7609999775886536,0.8050000071525574,0.8209999799728394,0.7545,0.7876666585604349,0.7111999988555908,0.8129999935626984,0.7544999957084656,0.0396185345664809,0.002289526402950287
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,13,0.8100000023841858,0.8479999899864197,0.6840000152587891,0.6209999918937683,0.7020000219345093,0.6809999942779541,0.8420000076293945,0.781000018119812,0.8029999732971191,0.8159999847412109,0.7588,0.7806666692097982,0.7254000067710876,0.809499979019165,0.7587999999523163,0.04159493589938819,0.002269521975517273
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,14,0.8050000071525574,0.8569999933242798,0.7129999995231628,0.5879999995231628,0.7179999947547913,0.6589999794960022,0.8119999766349792,0.7950000166893005,0.8040000200271606,0.8259999752044678,0.7577,0.7916666666666666,0.7143999934196472,0.8149999976158142,0.7576999962329865,0.0368348933591307,0.002344832134246826
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,15,0.8199999928474426,0.8370000123977661,0.6779999732971191,0.5979999899864197,0.7149999737739563,0.6809999942779541,0.7979999780654907,0.7990000247955322,0.8330000042915344,0.8529999852180481,0.7612,0.778333326180776,0.7181999921798706,0.8429999947547913,0.7611999928951263,0.04381159916991675,0.0023096089541912077
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,16,0.765999972820282,0.8169999718666077,0.7319999933242798,0.6309999823570251,0.7020000219345093,0.6859999895095825,0.8190000057220459,0.7960000038146973,0.8510000109672546,0.8529999852180481,0.7653,0.7716666460037231,0.726800000667572,0.8519999980926514,0.7652999937534333,0.04245191257258382,0.002299856227636337
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,17,0.8209999799728394,0.847000002861023,0.7080000042915344,0.621999979019165,0.7160000205039978,0.6830000281333923,0.8299999833106995,0.7900000214576721,0.8140000104904175,0.8399999737739563,0.7671,0.7919999957084656,0.7282000064849854,0.8269999921321869,0.7671000003814697,0.021593518979564498,0.0023590328216552734
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,18,0.7889999747276306,0.8500000238418579,0.722000002861023,0.6179999709129333,0.7260000109672546,0.6740000247955322,0.828000009059906,0.7929999828338623,0.828000009059906,0.8320000171661377,0.766,0.7870000004768372,0.7277999997138977,0.8300000131130219,0.7660000026226044,0.018098908447059272,0.0023953970789909363
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,19,0.8140000104904175,0.8550000190734863,0.718999981880188,0.609000027179718,0.7269999980926514,0.6489999890327454,0.8320000171661377,0.7789999842643738,0.8240000009536743,0.8220000267028809,0.763,0.7960000038146973,0.7192000031471253,0.8230000138282776,0.7630000054836273,0.02563217782144305,0.0023830664277076723
5000-5000-5000-5000-5000-5000-5000-5000-5000-5000,20,0.8009999990463257,0.8399999737739563,0.7260000109672546,0.6179999709129333,0.7229999899864197,0.6899999976158142,0.8230000138282776,0.7960000038146973,0.8209999799728394,0.8299999833106995,0.7668,0.7889999945958456,0.7299999952316284,0.8254999816417694,0.7667999923229217,0.02649074442731806,0.002412434905767441
